Date / Time,Temperature [C],DissolvedOxygen [mg/l],Turbidity [NTU],pH [Units],OxidationReductionPotential [mV ],SpecificConductivity [µs/cm]
10/12/2014 11:35,13.85,8.47,47.5,7.96,521,137
10/12/2014 11:38,13.87,8.46,46.2,7.96,521,139
10/12/2014 11:41,13.89,8.44,46,7.95,522,145
10/12/2014 11:44,13.91,8.44,44,7.96,522,148
10/12/2014 11:47,13.94,8.41,43,7.96,522,153
10/12/2014 11:50,13.96,8.36,44.5,7.95,523,156
10/12/2014 11:53,13.98,8.39,41.6,7.96,523,159
10/12/2014 11:56,14.01,8.41,41.6,7.95,524,163
10/12/2014 11:59,14.03,8.33,39.6,7.96,524,165
10/12/2014 12:02,14.04,8.34,39.2,7.96,524,168
10/12/2014 12:05,14.05,8.36,38.7,7.96,525,170
10/12/2014 12:08,14.07,8.33,37.9,7.96,525,174
10/12/2014 12:11,14.08,8.33,38.4,7.97,525,175
10/12/2014 12:14,14.1,8.27,37.4,7.97,526,178
10/12/2014 12:17,14.11,8.3,36.5,7.96,526,182
10/12/2014 12:20,14.13,8.27,37.3,7.97,527,185
10/12/2014 12:23,14.14,8.28,36.9,7.96,527,188
10/12/2014 12:26,14.15,8.29,37.4,7.96,528,191
10/12/2014 12:29,14.17,8.26,38.1,7.96,528,194
10/12/2014 12:32,14.18,8.25,35.9,7.96,529,197
10/12/2014 12:35,14.19,8.21,34.9,7.96,529,201
10/12/2014 12:38,14.2,8.22,35,7.96,530,202
10/12/2014 12:41,14.22,8.22,34.9,7.96,530,206
10/12/2014 12:44,14.23,8.17,33.4,7.96,531,210
10/12/2014 12:47,14.24,8.13,32.5,7.96,531,212
10/12/2014 12:50,14.26,8.15,32.4,7.96,532,215
10/12/2014 12:53,14.27,8.14,33.1,7.96,532,218
10/12/2014 12:56,14.29,8.1,32.1,7.96,532,221
10/12/2014 12:59,14.3,8.08,31.6,7.96,533,224
10/12/2014 13:02,14.32,8.09,31.8,7.96,533,228
10/12/2014 13:05,14.32,8.1,31.1,7.96,534,231
10/12/2014 13:08,14.34,8.05,31,7.96,534,234
10/12/2014 13:11,14.35,8.05,30.5,7.97,534,236
10/12/2014 13:14,14.36,8.05,30,7.97,534,240
10/12/2014 13:17,14.38,7.98,29.9,7.97,534,243
10/12/2014 13:20,14.39,7.94,30.3,7.97,535,246
10/12/2014 13:23,14.4,7.9,29.2,7.97,535,249
10/12/2014 13:26,14.42,7.94,28.7,7.98,535,252
10/12/2014 13:29,14.43,7.91,29,7.97,535,254
10/12/2014 13:32,14.44,7.94,29.2,7.98,536,258
10/12/2014 13:35,14.45,7.91,31.9,7.98,536,260
10/12/2014 13:38,14.47,7.91,29.6,7.98,536,264
10/12/2014 13:41,14.48,7.87,28.6,7.98,536,267
10/12/2014 13:44,14.49,7.84,28.6,7.98,536,269
10/12/2014 13:47,14.5,7.84,27.4,7.98,536,273
10/12/2014 13:50,14.51,7.83,27.5,7.98,537,275
10/12/2014 13:53,14.52,7.83,26.7,7.98,537,278
10/12/2014 13:56,14.53,7.82,27,7.98,537,281
10/12/2014 13:59,14.54,7.94,27.4,7.99,537,284
10/12/2014 14:02,14.55,7.89,26.7,7.99,537,287
10/12/2014 14:05,14.57,7.89,26.9,7.99,537,290
10/12/2014 14:08,14.58,7.92,25.9,7.99,538,292
10/12/2014 14:11,14.59,7.88,25.6,7.99,538,295
10/12/2014 14:14,14.62,7.9,26.9,8,538,297
10/12/2014 14:17,14.66,7.88,24.9,7.99,538,298
10/12/2014 14:20,14.7,7.74,24.6,7.99,537,300
10/12/2014 14:23,14.74,7.84,23.4,7.98,537,303
10/12/2014 14:26,14.77,7.91,23.8,7.98,537,303
10/12/2014 14:29,14.79,7.87,25.5,7.99,537,302
10/12/2014 14:32,14.81,7.89,24.8,7.99,537,303
10/12/2014 14:35,14.82,7.84,23.4,7.99,537,304
10/12/2014 14:38,14.84,7.86,22.8,7.99,537,303
10/12/2014 14:41,14.87,7.9,23.5,7.98,537,303
10/12/2014 14:44,14.89,7.83,23.7,7.98,537,302
10/12/2014 14:47,14.9,7.92,23.9,7.98,536,302
10/12/2014 14:50,14.9,7.8,23.7,7.98,536,302
10/12/2014 14:53,14.9,7.86,23.8,7.98,536,304
10/12/2014 14:56,14.9,7.92,23,7.98,535,305
10/12/2014 14:59,14.9,7.85,23.3,7.99,535,307
10/12/2014 15:02,14.91,7.87,23,7.99,534,309
10/12/2014 15:05,14.91,7.77,22.8,7.99,534,310
10/12/2014 15:08,14.91,7.87,22.3,7.98,534,313
10/12/2014 15:11,14.91,7.86,22.4,7.99,534,315
10/12/2014 15:14,14.9,7.87,22.1,7.99,534,318
10/12/2014 15:17,14.89,7.75,21.6,7.99,534,320
10/12/2014 15:20,14.9,7.84,21.5,7.99,534,323
10/12/2014 15:23,14.89,7.75,21.8,7.99,534,326
10/12/2014 15:26,14.9,7.82,21.1,8,534,329
10/12/2014 15:29,14.9,7.79,21,8,534,331
10/12/2014 15:32,14.9,7.69,20.8,7.99,534,334
10/12/2014 15:35,14.91,7.7,20.9,7.99,534,337
10/12/2014 15:38,14.91,7.77,20,8,534,340
10/12/2014 15:41,14.92,7.68,19.9,8,534,343
10/12/2014 15:44,14.93,7.78,19.2,8,534,347
10/12/2014 15:47,14.94,7.75,19.7,8,534,350
10/12/2014 15:50,14.95,7.66,19.5,8,534,354
